Twitter Handle & User Name,Tweet, external URL,Hashtags,Date of Tweet,Followers,Following,RT,FAV
"Lowetide , Lowetide","b""@CodexRex It would be perfect if her son's name is Angel. :-)""",no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 01:50:37 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide",b'Five hours from now! Find your sweetheart and get ready to dance!\\nhttps://t.co/42yggm5sBb',https://www.youtube.com/watch?v=Gs069dndIYk,no hashtags in this tweet,Fri Sep 21 01:04:38 +0000 2018,24945,12864,0,0
"Lowetide , Lowetide","b'@CCMichael4 Oilers TV, also CentreIce lists it.'",no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 01:00:41 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide",b'Just tuning in to Jets-Browns what did I miss?',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 00:47:53 +0000 2018,24945,12864,0,9
"Lowetide , Lowetide",b'@CharmingGrump You kiss that man full on the lips!',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 00:47:14 +0000 2018,24945,12864,0,7
"Lowetide , Lowetide","b'@alanvbedmonton Tor Kamata. I hated him as a youngster, his ""foreign object"" crap. When I grew up, and looking back\\u2026 https://t.co/YF41dmlrSs'",https://twitter.com/i/web/status/1042936589700063232,no hashtags in this tweet,Fri Sep 21 00:40:34 +0000 2018,24945,12864,0,4
"Lowetide , Lowetide",b'@melaniedambra Yes we do!',no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 00:36:53 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide","b""I see someone named Ed Whalen showing up in my timeline. I'm hoping they are bringing back Stampede Wrestling.\\u2026 https://t.co/I68jeF5fbJ""",https://twitter.com/i/web/status/1042931642132623360,no hashtags in this tweet,Fri Sep 21 00:20:54 +0000 2018,24945,12864,2,51
"Lowetide , Lowetide",b'Looks a little like Marc Pouliot there. Just saying #Pouliot #Nation\\nhttps://t.co/vv16Uw9FCO',https://twitter.com/TSN1260/status/1042930294146457600,"['Pouliot', 'Nation']",Fri Sep 21 00:17:40 +0000 2018,24945,12864,2,12
"Lowetide , Lowetide","b""RT @TSN1260: We're rolling with the pre game show on @TSN1260 with @DuckMillard and @ConnorHalley. We'll be joined by @Jason_Strudwick to s\\u2026""",no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 00:15:53 +0000 2018,24945,12864,4,0
"Lowetide , Lowetide","b'I swear that whenever I turn the television to a Minnesota Wild game, I become listless and fall asleep. Jacques Le\\u2026 https://t.co/CYwIdiOa1k'",https://twitter.com/i/web/status/1042929800430542848,no hashtags in this tweet,Fri Sep 21 00:13:35 +0000 2018,24945,12864,1,104
"Lowetide , Lowetide","b""@geology24_7 (giant thumb's up hand thingy)""",no external urls in this tweet,no hashtags in this tweet,Fri Sep 21 00:02:49 +0000 2018,24945,12864,0,2
"Lowetide , Lowetide",b'@geology24_7 Oilers TV has it according to their website. \\nhttps://t.co/ITGrQu3YXi',https://www.nhl.com/oilers/news/morning-skate-report-oilers-vs-jets/c-300267184,no hashtags in this tweet,Thu Sep 20 23:56:15 +0000 2018,24945,12864,1,2
"Lowetide , Lowetide","b""@C_Ragg @TheAthleticEDM I don't share your view, but it will be interesting to see who wins the battle.""",no external urls in this tweet,no hashtags in this tweet,Thu Sep 20 23:53:46 +0000 2018,24945,12864,0,0
